words,links,capital_words,spam_word_count,is_spam
161,0,1,2,0
40,3,9,0,0
714,3,28,6,1
113,3,3,1,0
243,1,1,5,0
342,10,8,4,1
36,0,3,2,0
179,2,3,0,0
645,2,9,3,1
825,5,5,0,1
441,0,3,2,0
912,2,3,5,1
110,1,2,5,0
701,4,7,7,1
713,2,3,2,1
166,9,29,7,1
236,1,0,2,0
257,2,0,1,0
214,0,3,1,0
527,4,20,9,1
138,6,13,5,1
127,0,4,0,0
55,2,3,2,0
888,2,8,5,1
74,1,0,2,0
269,0,15,5,1
177,0,3,4,0
124,2,0,8,1
850,2,7,9,1
180,5,10,0,0
396,5,7,9,1
42,1,1,2,0
665,8,6,5,1
346,0,2,9,1
559,5,28,9,1
142,5,4,2,1
560,3,22,9,1
296,10,0,10,1
119,0,27,7,1
740,8,14,6,1
184,6,13,3,1
264,7,3,9,1
335,4,21,9,1
197,3,3,2,0
219,0,2,1,0
241,1,5,1,0
256,2,3,1,0
171,1,0,1,0
254,4,18,9,1
650,6,17,9,1
162,9,21,4,1
39,2,3,2,0
133,2,1,0,0
97,2,2,2,0
147,1,3,0,0
839,1,27,10,1
558,6,24,5,1
773,7,1,4,1
157,3,15,3,1
124,1,2,1,0
183,6,22,6,1
184,2,3,2,0
393,10,5,4,1
295,0,2,1,0
281,2,1,1,0
187,4,10,3,0
574,7,0,10,1
275,1,5,0,0
995,10,7,9,1
201,2,16,8,1
243,2,2,4,0
505,10,3,6,1
242,4,0,1,0
355,5,13,4,1
756,3,28,9,1
97,0,3,0,0
388,7,24,2,1
794,0,27,6,1
186,0,2,1,0
721,3,27,3,1
335,2,1,10,1
744,10,3,7,1
670,2,13,10,1
88,7,24,7,1
100,2,1,2,0
289,0,2,3,0
254,1,1,0,0
706,6,7,4,1
101,1,7,7,1
132,1,2,1,0
842,2,23,0,1
830,9,23,10,1
212,0,3,3,0
21,0,1,1,0
23,0,1,1,0
269,2,3,2,0
142,9,3,5,1
80,3,1,0,0
283,0,2,1,0
33,1,1,1,0
204,1,8,2,0
383,4,2,2,0
64,3,27,3,1
72,7,7,1,1
50,10,4,6,1
338,2,1,2,0
48,0,0,1,0
395,5,3,10,1
508,5,24,8,1
231,8,6,7,1
841,2,28,8,1
668,8,5,3,1
275,9,3,5,1
637,5,8,10,1
227,3,1,1,0
540,6,8,8,1
43,1,1,0,0
161,3,9,3,1
392,0,19,1,1
211,1,0,5,0
190,4,5,3,1
156,2,11,10,1
987,1,2,1,1
96,1,0,2,0
193,6,5,2,1
78,0,1,2,0
259,1,3,0,0
707,9,17,8,1
211,1,0,0,0
134,2,3,2,0
289,1,2,0,0
162,2,3,5,0
279,2,3,5,1
55,0,6,2,0
115,1,2,0,0
146,2,10,2,0
246,2,2,0,0
846,2,23,1,1
878,7,25,3,1
196,4,2,3,0
456,5,13,2,1
375,2,0,0,0
208,5,3,0,0
105,1,2,2,0
105,10,15,3,1
245,5,6,7,1
219,0,0,2,0
292,0,4,0,0
207,0,2,0,0
1000,3,23,3,1
263,1,3,1,0
179,2,29,6,1
300,5,3,6,1
65,3,2,1,0
863,7,17,5,1
190,2,27,9,1
55,3,26,7,1
502,10,27,6,1
695,8,5,3,1
87,3,0,2,0
457,0,2,0,0
197,2,3,5,0
27,2,2,0,0
341,4,27,3,1
960,9,19,8,1
25,1,2,1,0
146,4,0,6,0
85,0,2,1,0
174,7,12,10,1
101,1,0,0,0
106,5,3,1,0
922,6,7,10,1
107,1,1,0,0
148,0,0,2,0
188,1,7,0,0
274,0,1,1,0
56,0,2,1,0
849,2,10,5,1
623,3,7,2,1
123,9,2,6,1
49,0,2,4,0
925,3,23,2,1
377,1,11,0,1
70,7,1,8,1
132,3,8,5,1
948,5,26,1,1
81,10,22,8,1
260,3,2,1,0
898,2,3,7,1
27,0,1,2,0
429,0,3,2,0
577,4,27,9,1
178,0,9,6,0
832,1,5,3,1
207,0,9,1,0
229,0,4,1,0
88,1,5,1,0
172,0,0,3,0
68,0,0,2,0
988,8,13,10,1
454,3,7,2,1
363,0,2,0,0
139,5,3,2,0
255,1,2,0,0
65,2,2,2,0
328,0,12,6,1
145,0,0,1,0
164,2,26,10,1
78,6,21,3,1
170,10,2,6,1
108,0,0,9,1
170,5,1,0,0
580,9,26,4,1
258,0,2,2,0
357,6,15,7,1
322,9,2,10,1
738,3,2,8,1
132,3,23,3,1
544,1,15,5,1
164,7,10,6,1
357,9,16,1,1
714,10,19,3,1
153,4,3,2,0
371,0,1,3,1
83,10,5,4,1
54,7,14,4,1
301,9,6,7,1
40,2,8,1,0
930,0,5,7,1
449,1,3,1,0
248,0,5,4,0
613,6,5,9,1
176,0,7,6,0
232,2,4,2,0
185,5,3,2,0
446,1,0,2,0
113,2,9,2,0
95,5,3,7,1
90,2,21,6,1
610,7,4,5,1
715,8,14,7,1
177,4,3,5,0
50,0,1,0,0
112,2,5,0,0
224,5,3,1,0
392,6,28,9,1
224,1,6,2,0
214,4,19,9,1
184,2,4,1,0
114,8,0,3,1
732,10,18,8,1
224,1,3,2,0
182,2,0,2,0
285,1,2,1,0
211,1,0,2,0
763,6,1,3,1
243,4,14,3,1
453,1,0,1,0
343,5,0,4,1
322,4,7,1,1
124,1,1,2,0
965,3,14,8,1
287,4,2,0,0
230,2,1,1,0
91,5,4,4,1
138,0,10,9,1
815,2,13,7,1
641,1,8,7,1
157,1,2,0,0
135,3,17,9,1
159,4,3,0,0
574,10,21,7,1
793,4,1,2,1
982,4,15,5,1
825,6,21,8,1
